"code","iso","country","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018","TCC.raw.2019","TCC.raw.2020"
218,"ECU","Ecuador",29882,13878,37393,40506,35706,60757,51985,57809,33832,43694,74473,49008,31292,30280,44352,71462,38867,35799,49085
818,"EGY","Egypt",66,83,145,74,54,105,107,76,130,129,555,169,195,57,75,111,113,36,35
222,"SLV","El Salvador",4714,6036,4597,5930,4651,3009,3351,4315,2897,3267,2567,2128,2410,2463,5832,4859,2755,2303,2251
226,"GNQ","Equatorial Guinea",2991,1969,424,1613,1264,3178,4850,5707,6623,7737,4971,7323,19285,7490,9567,11966,7854,9549,4890
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",21925,5634,18113,14826,21750,16194,18303,18829,21501,27203,17693,17134,23636,25469,36448,38986,40162,46055,36962
748,"SWZ","Eswatini",3990,5959,5555,4682,10155,6668,4860,10877,7040,2944,3758,3527,5566,3652,5511,7341,2309,4784,3265
231,"ETH","Ethiopia",14597,15070,14719,17706,13267,27713,27122,31572,22572,16983,44503,36037,38525,12433,24453,39946,21522,28444,20991
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",704,1574,2082,1667,1876,2150,2390,1792,2349,554,1238,2748,3779,1866,8507,3183,1394,1484,2109
246,"FIN","Finland",142533,89779,146716,230519,182443,152008,200328,176501,167613,159467,160462,149046,187145,173097,241259,337888,271027,290897,255637
250,"FRA","France",34084,26637,76585,46692,55358,49456,87255,67312,143523,64272,67627,30961,45146,38031,62598,71484,70716,82789,78945
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",13974,16923,10120,17837,19801,16763,17774,18339,10809,18476,17750,45549,49399,25665,32291,38906,26939,28712,22186
270,"GMB","Gambia",121,28,141,19,20,135,562,45,81,89,118,142,225,141,75,169,144,206,143
268,"GEO","Georgia",538,293,1975,552,534,995,748,452,826,541,478,260,119,43,534,215,304,168,225
276,"DEU","Germany",15348,6471,45019,39797,42712,93287,61769,28798,75746,34309,26065,15660,21358,12993,27076,33244,52517,108640,187331
288,"GHA","Ghana",80658,27250,18388,44365,28899,43977,41709,41426,22769,39244,39323,88727,129354,63483,131572,133276,167354,98762,150798
300,"GRC","Greece",5215,2635,6956,4304,7525,47281,21557,6679,7976,6446,14376,7446,4420,4424,7131,10848,8455,8849,6223
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",66,71,631,47,32,68,64,94,160,40,40,26,85,7,60,28,110,21,19
320,"GTM","Guatemala",55805,98588,56666,101140,52761,126888,77380,87131,59838,40724,84327,55402,62271,54583,179316,80434,71934,91030,99213
831,"GGY","Guernsey",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
324,"GIN","Guinea",32459,10026,21170,18128,18584,39648,25574,28147,19872,35132,30785,181978,165927,203393,268843,299488,241870,254783,230972
624,"GNB","Guinea-Bissau",6606,1088,4412,4502,2400,7242,3696,9429,5630,5071,4808,30582,16251,17076,21890,22243,19282,21899,22513
328,"GUY","Guyana",4833,7423,4066,5837,5937,5252,9464,8273,10109,8370,13122,7135,12202,13104,26549,19455,11776,22357,15791
332,"HTI","Haiti",2154,1085,2427,2067,1183,2121,2229,2501,2118,2601,4344,3302,3991,3199,17475,5613,4231,4504,3923
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",31655,33821,26562,40669,41865,42579,43582,51653,46258,52749,32450,43958,57955,50763,190250,114586,76874,82266,94229
344,"HKG","Hong Kong",16,7,19,9,21,30,27,51,13,16,14,6,29,25,49,99,181,29,87
348,"HUN","Hungary",7723,5741,12024,10414,8005,9382,8937,10088,11266,8238,12001,9081,15427,10862,14262,14332,14047,14640,12203
352,"ISL","Iceland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
356,"IND","India",53731,48508,75336,63408,68562,75140,87406,80633,51939,90850,97770,84845,145084,120365,182055,196811,139154,126954,143989
360,"IDN","Indonesia",856862,545514,1291223,1184189,1435664,1389889,1398130,1947138,1280369,1545742,2264784,1145712,1908155,1758831,2439835,1315088,1231524,1190440,971217
364,"IRN","Iran",566,332,285,177,146,135,378,194,203,241,414,83,85,0,2,119,69,147,22
368,"IRQ","Iraq",11,21,4,5,6,11,18,16,14,3,10,3,2,0,0,1,0,0,0
372,"IRL","Ireland",5320,2276,6906,8134,5260,11769,6954,7252,3887,3122,5847,4857,5802,4563,9591,6284,8556,10675,6374
833,"IMN","Isle of Man",14,2,9,11,27,31,0,47,50,12,31,17,44,11,18,18,12,20,7
376,"ISR","Israel",115,33,74,142,136,52,68,100,98,1099,54,68,177,65,83,135,53,68,60
380,"ITA","Italy",11012,3675,17410,11008,9063,11721,15321,14927,15881,11550,21779,16198,20521,14714,25731,35969,39669,60374,28761
388,"JAM","Jamaica",1655,1037,3917,7609,2812,1274,2036,3556,2372,2394,2613,1344,2872,2927,2010,2227,2264,2323,2197
392,"JPN","Japan",26199,19783,37391,36445,39042,45650,40899,40951,35790,36001,45746,23324,28295,31244,55233,47797,50677,51540,48209
832,"JEY","Jersey",1,0,1,0,0,0,2,1,7,3,7,1,0,0,0,2,0,0,0
400,"JOR","Jordan",0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
398,"KAZ","Kazakhstan",3041,3394,5630,3221,3225,4696,4648,6524,3170,5104,3876,3132,634,185,1377,1087,1206,1360,2013
404,"KEN","Kenya",21378,15067,18534,14608,22178,27815,21166,19841,23894,18846,19610,15951,17827,16950,21858,25190,17969,18115,21672
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",216,262,574,315,522,815,1146,782,470,804,1773,788,768,477,923,640,600,704,984
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",313,118,201,86,119,112,114,209,268,113,93,30,15,0,12,57,19,16,12
418,"LAO","Laos",56833,87818,64852,68576,123672,133820,81244,146612,167932,132094,149445,208437,246919,287850,391886,353321,298271,369482,361463
