"code","iso","country","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019"
562,"NER","Niger",0.0288141275033216,0.0301206424566276,0.0231851444422571,0.0122384586808251,0.0152789540591167,0.0170485827485487,0.00743783075219517,0.00175379153700561,-0.00272694463368213,0.00433486735266042,0.0169938999533272,0.0381607198845972,0.0561699444559738,0.0884437410886574,0.121669126721268,0.151995468108122,0.155983682464635,0.143496846540959,0.116203221364193,0.0912028390259267,0.0676364448410289
566,"NGA","Nigeria",0.00811717362462194,0.00833687685233553,0.0117579591661336,0.0111385864900224,0.0165597872180596,0.00997683854781495,0.00687022075662602,0.00519925274344279,-0.00178537188753566,-0.012615564226935,-0.0435617328504846,-0.0149649330602744,0.0115333303405911,0.016002926050162,0.0295379401567311,0.0401342469091306,0.0446498722576323,0.0425829377587543,0.0374197903531135,0.0363374858174494,0.0191153952109022
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
807,"MKD","North Macedonia",-0.00601817519519904,0.0141428316726988,0.0190617959487556,0.0162358795625919,0.00970478017201426,0.00258291636943708,-0.00377867686542943,-0.00576285186140245,-0.0316473582392671,-0.0342884894850414,-0.0517858881122548,-0.0597246553782245,-0.0499038619077999,-0.0541955103038959,-0.0595627986743496,-0.0628866170039701,-0.0640073839656165,-0.0611340673900087,-0.0540843585553913,-0.0509717609536518,-0.0376191445306783
578,"NOR","Norway",0.0219118450006792,0.0241512540500262,0.0260232981474653,0.0200446476576306,0.0260264653074842,0.024796397428434,0.0206640294744571,0.0146588350072054,0.0112188045858812,0.0198937525330072,0.0273856208539147,0.0253185350714336,0.0166932210459698,0.00479642326936003,0.00530944296220914,0.00191636168289233,-0.00425082923394673,-0.0228272986087702,-0.0284687629179392,-0.0111464572419036,0.00100197850518624
512,"OMN","Oman",0.0388953262913039,0.0464658467781736,0.0450532163129966,0.0496941101599102,0.0665070582298444,0.0686331852451465,0.0770122981250969,0.0906863752643758,0.100082563886899,0.0960168989938628,0.0908408075449703,0.0901879966678096,0.0846809894531335,0.0839096296978479,0.0922530675344251,0.0795869996978404,0.0664134059779622,0.0609819685309412,0.0613805888013259,0.0542301199398765,0.0403262018458499
586,"PAK","Pakistan",0.0488029992995269,0.048696364462183,0.0435842596614111,0.0398949793209922,0.0381730962288254,0.0419120780310722,0.0420705874334895,0.0472375677098837,0.0515892608805761,0.0528755993675145,0.0501198335256854,0.0453277722278118,0.0370583271994915,0.0279139383523666,0.0161130249157859,0.0091140926665354,0.00768594300139491,0.017280594046911,0.0358918371886265,0.0520003480021756,0.0626055269867545
585,"PLW","Palau",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00070646480690062,-0.000672727266565349,-0.000386637148426185,-0.000478025150555162,-0.00117693060377403,-0.000911867458461703,-0.000768285757747182,-4.9065948421201e-05,0.0124962725484659,0.0139801422966277,0.0306589022887742
591,"PAN","Panama",0.0767406588320205,0.0648946600596731,0.0659348762712486,0.0661167014324173,0.0588565975691275,0.0486662038360337,0.0347954473813346,0.031941721117875,0.0241530136604633,0.0284401497258657,0.0345573656801366,0.0411584164401368,0.0608495629229893,0.0624323841668752,0.0694707594270718,0.0612185748944083,0.0565401930149396,0.0499164744639324,0.044339358655902,0.0317442488061839,0.0293313578683847
598,"PNG","Papua New Guinea",0.0358859824581483,0.0420537302839041,0.0521311027418805,0.0626668988228185,0.0731196084144554,0.0833685531607815,0.0833680601955535,0.0772730565428816,0.0880535504416726,0.0988749573619447,0.0772483171491281,0.0503501724493933,0.0329422344410557,0.0142607217314505,0.00299282992730188,0.00835392687954228,0.0126921568559246,0.018302908401286,0.0327345911093069,0.0378922026553654,0.056007291174125
600,"PRY","Paraguay",0.091376084868825,0.0680852506983418,0.0393489031742613,0.0201439083210302,0.00695584348567646,0.000334456024826624,-0.0014482792275798,-0.00494528294355379,-0.00275284281507758,0.00602096578908973,0.0192653412177759,0.0252077670921369,0.0305895768454665,0.0344965336275811,0.0383097155601042,0.0423063604942298,0.0437774829158788,0.0514269550097421,0.0602550804740578,0.0560355641589005,0.0497648388070637
604,"PER","Peru",0.0395201006206423,0.0385079319460584,0.0254633544609901,0.011963722892129,0.00386474677948634,0.00261923591528879,0.0055671705508249,0.00115307475434889,0.0131667809584111,0.0248249934141223,0.0434636802693043,0.0611782650331865,0.0651096392513204,0.067191060444878,0.0568564383185155,0.057311570231551,0.0552674016256105,0.0458751232162293,0.0417279348338944,0.0367659269115326,0.0340431940752055
