code,iso,country,SPI.raw.1980,SPI.raw.1981,SPI.raw.1982,SPI.raw.1983,SPI.raw.1984,SPI.raw.1985,SPI.raw.1986,SPI.raw.1987,SPI.raw.1988,SPI.raw.1989,SPI.raw.1990,SPI.raw.1991,SPI.raw.1992,SPI.raw.1993,SPI.raw.1994,SPI.raw.1995,SPI.raw.1996,SPI.raw.1997,SPI.raw.1998,SPI.raw.1999,SPI.raw.2000,SPI.raw.2001,SPI.raw.2002,SPI.raw.2003,SPI.raw.2004,SPI.raw.2005,SPI.raw.2006,SPI.raw.2007,SPI.raw.2008,SPI.raw.2009,SPI.raw.2010,SPI.raw.2011,SPI.raw.2012,SPI.raw.2013,SPI.raw.2014,SPI.raw.2015,SPI.raw.2016,SPI.raw.2017,SPI.raw.2018,SPI.raw.2019,SPI.raw.2020,SPI.raw.2021
112,BLR,Belarus,36.965,37.115,37.115,37.125,37.125,37.125,37.325,37.325,37.57,37.57,38.5,38.54,38.555,38.73,38.73,39.285,39.295,39.295,39.295,39.465,39.465,40.95,41.405,41.405,41.425,41.49,41.49,41.49,41.5,41.505,41.505,41.505,41.885,43.09,43.795,44.26,44.26,44.26,44.26,44.26,44.26,78.22
56,BEL,Belgium,17.385,17.385,17.385,17.385,17.385,17.55,17.695,17.7,24.87,24.9,24.995,25.245,25.285,25.315,25.645,25.735,26.01,26.315,26.405,26.775,27.27,28.015,31.175,34.815,50.66,50.985,51.14,51.43,51.535,52.67,52.78,52.905,52.985,53.25,57.285,60.58,60.705,60.795,60.825,70.075,70.075,78.31
84,BLZ,Belize,60.755,60.755,60.755,60.755,65.43,65.67,65.69,65.69,70.05,70.58,74.67,86.27,86.32,86.32,86.98,87.33,87.49,87.49,88.57,88.57,88.57,89.045,89.12,89.12,89.25,89.44,89.44,89.52,89.54,89.54,89.56,89.65,89.905,89.905,89.905,89.905,89.905,89.905,89.905,89.905,89.905,89.91
204,BEN,Benin,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05,72.05
60,BMU,Bermuda,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
64,BTN,Bhutan,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,30.63,61.98,61.98,61.98,61.98,61.98,61.98,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,75.42,75.42,75.42,75.42,75.42,75.42,75.44,75.44,75.44,75.44,75.44,75.44,75.44,75.44
68,BOL,Bolivia,21.405,21.405,21.405,21.405,21.405,21.405,24.52,25.235,35.06,36.58,44.78,45.58,47.03,47.88,47.88,58.955,59.295,61.28,61.285,61.29,61.835,62,62.32,62.32,63.125,63.375,63.425,65.8,65.825,65.905,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.57,66.85
70,BIH,Bosnia and Herzegovina,2.685,2.705,2.705,2.715,2.715,2.715,2.715,2.715,2.715,2.715,2.715,2.715,2.715,2.715,2.715,10.155,10.155,10.155,10.155,10.155,10.155,10.155,10.32,10.37,10.37,10.595,10.67,10.99,20.56,21.315,21.315,21.565,21.565,21.57,22.38,22.4,22.41,22.81,22.925,23.25,23.25,23.26
72,BWA,Botswana,79.85,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,82.68,82.97,82.97,82.97,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34,92.34
76,BRA,Brazil,8.465,8.82,10.15,11.48,13.48,15.54,15.66,19.055,21.61,28.16,31.4,32.34,33.44,34.94,39.05,40.57,42.21,46.415,50.705,52.99,55.61,58.3,61.285,62.035,62.845,63.115,64.45,64.97,65.91,66.56,67.24,67.47,67.915,68.08,68.31,68.35,68.44,69.24,70.24,70.24,70.24,70.3
