"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
818,"EGY","Egypt",0.041947745,0.042724383,0.043239656,0.043904749,0.042253579,0.042085291,0.041670223,0.040993337,0.039940864,0.041209468,0.04357206,0.046488385,0.044633883,0.045919242,0.047453546,0.047089037,0.048733963
222,"SLV","El Salvador",0.012306538,0.01209358,0.011569861,0.010776523,0.011166579,0.01024458,0.011240907,0.010037166,0.010490673,0.01067885,0.010386602,0.010328988,0.010261693,0.010196516,0.009586227,0.009839187,0.010367292
226,"GNQ","Equatorial Guinea",0.001628751,0.001621768,0.001727326,0.001689492,0.001708242,0.001699762,0.001737885,0.001752406,0.001734205,0.001797428,0.001858457,0.001830601,0.001898737,0.002140179,0.00180378,0.001821895,0.001847207
232,"ERI","Eritrea",0.001448938,0.001583973,0.00155759,0.001459577,0.001584926,0.001703368,0.001679589,0.00176182,0.001597486,0.001646991,0.001638748,0.001664153,0.001798564,0.00166478,0.001913583,0.001797623,0.001831498
233,"EST","Estonia",0.010619823,0.010978778,0.010801013,0.010597629,0.009860414,0.009215434,0.009566733,0.009606299,0.008821551,0.008630761,0.009341995,0.009057195,0.007903071,0.008722001,0.00798425,0.008541128,0.008062804
748,"SWZ","Eswatini",0.007049681,0.007955556,0.00839682,0.008687856,0.009420937,0.008953156,0.008718938,0.008999207,0.008734383,0.008490904,0.009083373,0.009382346,0.008949272,0.00842978,0.007938484,0.007925659,0.008553266
231,"ETH","Ethiopia",0.00114751,0.001194989,0.001296138,0.00119073,0.001306918,0.001356085,0.001306472,0.001348942,0.001346152,0.001395994,0.001390091,0.001387147,0.001452319,0.001436003,0.001395676,0.00135362,0.001366707
234,"FRO","Faeroe Islands",0.000623834,0.000519195,0.00045666,0.000527627,0.000413738,0.000463756,0.000510285,0.000462996,0.000453721,0.00036401,0.000409731,0.000475283,0.000395055,0.000408626,0.000377114,0.000397926,0.000355414
238,"FLK","Falkland Islands",0.000170161,0.000188383,0.000179245,0.000183339,0.000184292,0.000183707,0.000187409,0.000190922,0.000171292,0.000198889,0.000181037,0.000181384,0.000177321,0.000178774,0.000177994,0.000186928,0.000186956
242,"FJI","Fiji",0.002103794,0.002106964,0.002258822,0.002112121,0.002228646,0.002263736,0.00205256,0.002230822,0.002305304,0.002051413,0.002169604,0.002090751,0.001864664,0.002172571,0.002061222,0.002032131,0.001945947
246,"FIN","Finland",0.003013925,0.003068966,0.002999102,0.00284946,0.002519967,0.002443136,0.002342528,0.002228439,0.002082783,0.00211344,0.001972583,0.002005514,0.00180268,0.001716127,0.001515525,0.001670794,0.001522586
250,"FRA","France",0.009299125,0.008174084,0.00772846,0.007070503,0.006549661,0.006050065,0.005564415,0.004991202,0.00477678,0.004341398,0.004043853,0.003898438,0.003538321,0.003309814,0.003031605,0.002751302,0.002417418
258,"PYF","French Polynesia",0.000408673,0.000382154,0.000403583,0.000381727,0.000387084,0.000379383,0.000413472,0.000392415,0.000391653,0.000423012,0.000387572,0.000412648,0.000415444,0.000424653,0.000344508,0.00038515,0.000377591
266,"GAB","Gabon",0.001159036,0.001235996,0.001310091,0.001307831,0.001301512,0.001316846,0.001332047,0.001361989,0.001365605,0.001377516,0.001364106,0.001327497,0.001371355,0.001384267,0.0013554,0.001351661,0.001341566
270,"GMB","Gambia",0.010439417,0.011353275,0.010560495,0.010386335,0.010391687,0.010820809,0.010878189,0.012091414,0.011287764,0.010104593,0.010638957,0.011068212,0.011004943,0.011683775,0.011851279,0.012694581,0.013373563
268,"GEO","Georgia",0.004647425,0.004555351,0.00457676,0.004850406,0.005077747,0.005357002,0.005379794,0.005767228,0.005524732,0.005566084,0.005459006,0.005574278,0.005458266,0.00530413,0.005382921,0.005364079,0.005521341
276,"DEU","Germany",0.009951276,0.008716473,0.008328421,0.007454346,0.006573334,0.006113259,0.005565414,0.004964762,0.004659005,0.004251805,0.00393075,0.00388728,0.003459393,0.003200491,0.002977666,0.002905382,0.002418887
288,"GHA","Ghana",0.001685875,0.001751516,0.00197834,0.001732358,0.00214146,0.002278018,0.001962156,0.001942,0.00212092,0.002001568,0.002124398,0.001975886,0.002314973,0.002458313,0.002232006,0.00224359,0.002168187
300,"GRC","Greece",0.02194925,0.021484999,0.020334818,0.019481604,0.017933417,0.015842276,0.014334405,0.01269666,0.012305826,0.012224669,0.01122755,0.010772431,0.01059662,0.01014112,0.010065524,0.009469775,0.008693983
304,"GRL","Greenland",0.00031553,0.000319671,0.000325349,0.000307331,0.000319092,0.000330527,0.000309333,0.000333085,0.000293321,0.000298519,0.000264422,0.000260535,0.000251259,0.000239318,0.000245915,0.000205708,0.000225397
308,"GRD","Grenada",0.000712258,0.000721859,0.000838376,0.000729829,0.000704328,0.00071879,0.000659969,0.000773747,0.000730591,0.000720133,0.000673371,0.000616234,0.000624717,0.000731451,0.000530544,0.000499276,0.000578197
320,"GTM","Guatemala",0.009618171,0.008937603,0.009107388,0.008373947,0.008546138,0.008172636,0.008310525,0.007804509,0.008087987,0.007955849,0.007751556,0.007437029,0.007301457,0.007523548,0.007579967,0.007380802,0.007734426
