"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020"
36,"AUS","Australia",31058.2596709541,30542.9197143586,30298.9290163388,31213.0798529168,32114.830840244,32946.9006734039,33778.0635392223,34727.1997827083,35940.0171358725,37334.4752293048,38343.002147534,38559.9041923683,39616.3360972666,40298.8860528145,41449.8419535385,42217.136349705,42761.4056075413,44128.727085347,44835.3614074554,44771.4842140369,44991.7837148741,45463.6819958564,46427.3681999005,46814.7415105805,47289.9646101072,47636.3196419058,48197.4311891741,48482.6474614391,49151.6887104846,49455.5385080698,48697.8370282474
40,"AUT","Austria",37440.8371224763,38344.6538588313,38718.93304962,38603.2585486016,39378.7061153853,40367.4710458506,41260.1714020034,42076.2876519581,43535.4217533188,44996.0545966818,46403.2776992589,46811.746772924,47351.3346982706,47564.8638976916,48563.5886574222,49316.2647023136,50767.8484448074,52489.7572106205,53089.8763414956,50957.6063796813,51769.145564115,53102.9508443039,53221.078664831,52921.8171022968,52857.0563215416,52798.0994607541,53269.3062047537,54169.9639937066,55297.6182880368,55833.3156857561,52119.8482451895
31,"AZE","Azerbaijan",7758.15403607237,7585.17951719776,5782.65027681674,4379.81407803337,3469.77031647845,3025.29387687973,3033.83038827899,3178.97739607155,3463.84200968233,3687.66101459279,4063.47164104467,4431.28987324472,4813.50418477742,5264.84052596648,5701.90326352629,7222.0360750378,9605.09610840819,11914.9948325969,12903.1519167445,13822.0911094279,14312.7561158751,13905.2457636452,14023.9807176578,14652.7042457179,14875.7816413327,14853.910552573,14238.7841366188,14121.4069355591,14209.6494059309,14439.3014032972,13699.6655903181
44,"BHS","Bahamas",38099.2538327744,35837.4651884043,33815.9549752855,33289.7315995842,33742.4793984083,34675.6750692435,35656.4852093654,37659.5017015855,35562.8717497013,39430.7738839293,40518.1795069369,40953.4839488563,41372.2370983238,40135.9965450676,39757.66809285,40353.9751920067,40596.8009226954,40408.386981419,38746.783555254,36500.0676546934,36504.407046587,36253.6681039905,36961.748536865,35620.7135644206,35659.9311342141,35400.6494660107,35558.072497287,36298.4480017564,37019.995048951,37100.3629626189,30764.1159665552
48,"BHR","Bahrain",38601.0327316615,41770.6421477913,43430.2713411364,47819.4239458923,46538.7747226765,47157.2167609521,47825.8742542915,47957.0685646187,48717.1820404672,48988.5701761619,49406.2910308378,48245.775482163,47311.745510671,47476.9833537752,47661.3940699161,47493.1483991774,46910.1911420583,47000.3153341983,46408.8320829659,44759.3947196856,44599.804972084,44157.4796400241,45035.9785547932,46930.8307282373,48201.1571717366,48110.7341930587,47937.7090620549,47709.7780156397,46200.445580954,45060.4237448845,40933.3526644217
50,"BGD","Bangladesh",1517.72927106581,1534.52517930293,1582.31359952154,1621.32684617705,1648.73402343608,1696.56782496942,1735.92200817636,1775.9641175023,1829.50380574894,1876.59904380337,1937.72919211468,1998.06631990634,2037.23630988194,2097.16874811972,2171.68867544338,2279.53127370224,2399.08222733303,2537.11119756525,2659.04923206241,2762.18047443876,2883.46679391309,3034.95108156758,3195.78104025627,3349.02500775858,3511.64550625961,3700.11082057504,3920.14450723583,4160.70332471531,4440.85547046826,4753.72659686815,4818.09473660531
52,"BRB","Barbados",13984.1925159608,13388.5891086477,12579.4681689116,12632.1897441017,12836.3812807789,13042.6157319939,13505.7981330451,14086.0656098869,14548.8183416476,14537.0020282853,15124.4362400336,14713.4035365796,14778.8722467196,15050.4034602071,15210.071840414,15752.3601314013,16612.7345662264,16903.872955407,16946.6709613034,16019.7146273444,15596.6168113309,15444.7463207601,15335.848046216,15088.4413511106,15041.5547480584,15382.7656890531,15738.078661824,15789.0411622149,15674.9043195592,15639.0478442375,12870.0425037649
112,"BLR","Belarus",8895.47651248387,8784.42045113033,7924.01489322442,7305.34258331295,6458.18614237423,5805.26691258759,5987.78568941429,6698.74456753512,7296.05459067832,7575.91832595163,8053.17363808324,8477.08401148315,8961.64111959338,9660.19368845285,10839.9562728165,11940.1865961058,13214.87158024,14417.3535308989,15942.8976797373,16010.439955622,17288.4043493432,18251.7809447654,18576.7286760827,18760.1635240199,19066.8868190919,18307.5196678405,17822.6065945418,18280.1989190642,18885.2354999668,19283.1171477055,19148.1751007952
56,"BEL","Belgium",35506.2392661362,36022.9870333568,36426.2880979906,35935.2618401676,36980.7331576015,37783.418562422,38207.9791308757,39561.6072371459,40251.6898056164,41582.292537444,43023.30716339,43347.0501969366,43889.748592709,44160.0566799358,45539.5854609401,46341.2896407061,47211.6639573887,48589.4600517703,48422.5782305146,47063.8790649801,47971.6303134944,48153.9390923805,48209.991519122,48203.6526833,48747.6770466386,49455.4413365318,49828.9629137518,50442.2705419622,51110.9584679336,51742.7263830791,48210.0331113443
84,"BLZ","Belize",4854.98936338819,5310.15119163883,5852.84546198375,6116.26002780321,6002.80986195588,5887.27953790812,5784.21826657587,5775.30362249423,5765.64783209209,6042.66761428573,6599.33935192091,6698.17747351247,6819.48232025268,7261.13776382503,7413.90025955941,7363.87063594469,7519.43495574937,7363.4238465531,7426.89145077263,7257.75547237397,7294.68414297852,7259.85188640884,7264.46477960468,7194.9179052957,7323.14470076649,7358.58229184617,7207.00518379998,7193.63430990343,7261.8702873867,7251.92135121611,6119.88768686153
