"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
100,"BGR","Bulgaria",3048.66,1665.606,1875.672,2978.009,2319.275,1808.84,3437.731,2220.61,2028.566,1022.95,920.318,3395.517,1036.563,2260.936,2492.864,2633.929,2946.184
854,"BFA","Burkina Faso",6131.292,4866.046,359.508,6689.84,10024.551,4550.417,5547.673,12092.279,3452.716,16870.315,3675.768,1800.835,2699.667,2836.042,1094.229,923.919,2116.788
108,"BDI","Burundi",494.07,426.682,514.211,249.852,474.433,161.957,845.941,1024.334,445.168,712.711,344.825,370.069,804.271,1078.126,820.151,982.167,1303.39
132,"CPV","Cabo Verde",5.666,10.274,1.451,0.007,1.156,0.723,2.414,-5.999,7.155,-4.423,2.072,22.414,19.928,28.215,-11.805,-12.659,-13.442
116,"KHM","Cambodia",11062.583,21513.099,20807.852,28681.506,25324.367,30274.436,31647.831,31276.891,48376.078,88981.794,71607.452,77478.609,83828.07,74864.438,60687.639,78435.186,56268.795
120,"CMR","Cameroon",26535.106,20228.948,17271.369,15978.157,16885.757,27109.218,33395.396,27139.537,25197.776,45466.96,20528.813,35947.171,63995.749,137653.643,55931.722,85130.091,131022.467
124,"CAN","Canada",411611.326,680181.711,485397.64,786362.784,827815.925,717658.063,638957.698,558282.647,440572.309,617391.306,585032.47,713485.871,783536.803,664478.313,740250.133,581106.206,776302.789
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",17775.814,19252.351,8148.697,8243.062,15459.455,28727.843,21490.494,16902.823,26253.835,28054.789,26566.276,32508.513,27468.854,34996.412,16552.768,33755.41,39562.737
148,"TCD","Chad",8836.585,12319.164,2342.703,5835.937,4149.874,24270.973,6747.655,24622.862,9682.929,1811.982,5532.439,16888.843,21220.619,26493.308,16875.55,16359.23,32481.495
152,"CHL","Chile",36148.728,39012.854,40752.403,41525.094,52046.62,44030.796,57548.513,56599.436,39108.203,39068.158,42423.707,79113.03,52258.099,65183.22,58590.021,68252.066,161181.156
156,"CHN","China",92379.738,98827.214,98951.219,197092.663,151620.651,224287.883,264534.479,303540.042,243272.392,252475.315,249979.327,267959.978,250652.042,293006.217,271140.877,426815.32,411212.786
170,"COL","Colombia",140459.886,115822.299,74368.122,162997.622,118457.385,116373.72,174374.099,146184.356,143917.326,122408.71,115006.697,137949.281,92327.636,137180.183,93045.41,193442.387,282110.508
174,"COM","Comoros",9.885,14.589,8.567,13.043,22.05,2.783,23.917,9.042,36.206,31.3,45.658,31.369,513.395,416.316,145.85,24.974,78.068
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",9579.582,8484.943,5321.679,5784.641,9759.886,6471.77,7109.116,13602.986,14252.797,8282.675,6563.738,6845.498,5262.257,7968.409,2039.12,9694.819,15016.062
384,"CIV","Cote d'Ivoire",99222.823,118933.339,69603.681,41501.965,58906.477,83352.15,75995.464,113652.799,87441.737,80240.609,103688.871,76001.671,159255.945,298501.58,135666.346,198899.635,346941.725
191,"HRV","Croatia",1266.303,790.928,615.212,2305.64,951.935,808.734,1142.975,1409.536,1004.506,1162.992,1005.386,1754.544,1037.384,1550.055,945.78,1932.145,2360.115
192,"CUB","Cuba",10546.236,7522.432,3112.17,11531.607,6375.003,5617.715,3033.237,8365.065,7527.172,3353.986,7631.285,4466.582,2680.844,2941.664,3204.462,49125.529,40896.316
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
