"code","iso","country","AMP.raw.1990","AMP.raw.1991","AMP.raw.1992","AMP.raw.1993","AMP.raw.1994","AMP.raw.1995","AMP.raw.1996","AMP.raw.1997","AMP.raw.1998","AMP.raw.1999","AMP.raw.2000","AMP.raw.2001","AMP.raw.2002","AMP.raw.2003","AMP.raw.2004","AMP.raw.2005","AMP.raw.2006","AMP.raw.2007","AMP.raw.2008","AMP.raw.2009","AMP.raw.2010","AMP.raw.2011","AMP.raw.2012","AMP.raw.2013","AMP.raw.2014","AMP.raw.2015","AMP.raw.2016","AMP.raw.2017","AMP.raw.2018","AMP.raw.2019","AMP.raw.2020","AMP.raw.2021","AMP.raw.2022"
188,"CRI","Costa Rica",3475.14146988509,3475.14146988509,3721.9250707885,3773.92387930968,3773.92387930968,3936.42695928222,4081.74873482499,4081.74873482499,4081.74873482499,4143.86234041625,4143.86234079068,4143.86234079068,4143.86234079068,4143.86234079068,4143.86234079068,4143.86234079068,4143.86234079068,4343.73998510603,4343.73998510603,4343.73998510603,4343.73998510603,4343.73998510603,13961.9881943217,13961.9881943217,13961.9881943217,13961.9881943217,13961.9881943217,13961.9881943217,13961.9881943217,13968.7640749274,13968.7640749274,14624.5219167629,14624.5219167629
384,"CIV","Cote d'Ivoire",0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143
191,"HRV","Croatia",133.439887078441,133.439887078441,133.439887078441,133.439887078441,133.439887078441,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271335653,137.474271334852,137.474271334852,137.474271335653,137.474271335653,137.474271335653,137.474271334852,137.474271334852,284.611873437903,4406.33288219478,4406.33288219478,4406.3328821353,4406.33288213549,4406.33288213549,4406.33278599071,4406.33278599532,4406.33278599532
192,"CUB","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,1201.3334757541,1201.3334757541,3532.48817993197,3532.48817993197,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254,5358.35027254
531,"CUW","Curacao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"CYP","Cyprus",8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8356.77915176049,8377.37369393064,8377.37369393064,8377.37369393064,8381.14566651573,8381.14566651573,8381.14566651573,8381.14566651573,8381.14566651573,8381.14566651573,8381.14566657455,8381.14566657455,8390.25054033257,8407.21914577863,8407.21914577863,8407.21914577863,8407.21914577863,8407.21914577863
203,"CZE","Czech Republic",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"COD","Dem. Rep. Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"DNK","Denmark",7131.07017742093,7131.07017742093,7131.07017742212,7131.07018806426,7131.07018806452,7131.07018806546,7131.07018806546,7131.07018806664,7131.07018806664,7131.07018805989,7131.07018805875,7131.07018805515,7131.07018806452,7141.91113569646,8915.59965538967,11382.250671493,11772.2237186718,11773.414407614,12503.482749957,12503.4827499507,18160.0861019969,18160.0861020716,18336.3184289289,18375.2137826232,18375.2137880395,18375.2137880373,18375.2137880373,18780.8231916381,18780.82318809,18780.82318809,18780.82318809,18780.82318809,18780.82318809
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073,13.3227655917073
212,"DMA","Dominica",5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,5.68699663151386,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369,10.6370041048369
214,"DOM","Dominican Republic",10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,10.1177698172102,35853.5004260277,35853.5004260277,35853.5004260277,35853.5004260277,35853.5004260277,46598.7774085917,46598.7774085917,46598.7774086029,46598.7774086029,46761.8738577652,47006.9064490152,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143,47006.9064490143
218,"ECU","Ecuador",0,0,0,0,0,0,0,0,0,124063.813719229,124063.81371923,124078.53728435,124078.537284349,124090.018045177,124348.319826744,124348.319826743,124348.319826743,124348.319827383,124453.323214954,124977.754128045,125526.382743125,125526.382743124,125550.655143892,125722.516312757,125722.516312757,125988.260737618,127421.660653943,128251.965011351,129118.07052743,129118.07052743,129118.07052743,129118.07052743,129118.07052743
818,"EGY","Egypt",709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,709.40658966413,2375.63223752866,2375.63223752866,2375.63223752866,2375.63223752866,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749,2707.01298345749
222,"SLV","El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.23605932104,208.310463422821,208.310463422821,403.505364117138,403.505364117138,403.505364117138
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894,595.244301038894
232,"ERI","Eritrea",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",0,0,0,0,0,0,0,0,136.958547683128,136.958547683128,293.108129585516,293.108129585516,293.108129585516,293.108129585516,296.188750106107,5900.94164221982,5958.96002517255,5958.9597490028,5961.38541892193,5961.38541892193,6055.23075484268,6202.53419834117,6254.22260893184,6254.22260894197,6254.22260893276,6254.22267398992,6515.48027695917,6515.48035670072,6515.60860886634,6548.93336188614,6600.93558911787,6600.93559106201,6600.9355910718
748,"SWZ","Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"ETH","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
