"code","iso","country","BCA.raw.1999","BCA.raw.2000","BCA.raw.2001","BCA.raw.2002","BCA.raw.2003","BCA.raw.2004","BCA.raw.2005","BCA.raw.2006","BCA.raw.2007","BCA.raw.2008","BCA.raw.2009","BCA.raw.2010","BCA.raw.2011","BCA.raw.2012","BCA.raw.2013","BCA.raw.2014","BCA.raw.2015","BCA.raw.2016","BCA.raw.2017","BCA.raw.2018","BCA.raw.2019"
96,"BRN","Brunei Darussalam",0.0425920232677346,0.0350097696493457,0.0270751307655137,0.0237259245104631,0.0211354637563381,0.0177821294322225,0.0143113470280676,0.0170656013352537,0.0236615703051142,0.0261468581131123,0.0267046424375856,0.027724386430874,0.0301843046930927,0.031669687288935,0.0294305969748818,0.0252204865643317,0.0188677875092105,0.0110792198372274,0.00669484078953286,0.00278100624576383,-0.000166333200556323
100,"BGR","Bulgaria",-0.0240076437862064,-0.0172347654294554,-0.0146005705555079,-0.0102827150376169,-0.000119547552505377,0.00520648408527324,0.00520120216230824,0.013015921022316,0.00904327299943786,0.00723820121983842,0.00141616444888903,-0.00673570593537284,-0.0209102554105368,-0.0259224845868339,-0.0318054022401512,-0.0352308068095088,-0.0287929472336674,-0.0198365428159786,-0.019456375324297,-0.0291737904440738,-0.0444609151395936
854,"BFA","Burkina Faso",0.0249322903146774,0.0251955642773845,0.024186367092297,0.0191238114333989,0.0108119481448348,0.0117363012677976,0.0166890140394713,0.0225091975729124,0.0258117652583276,0.0286105867575734,0.0310563518763469,0.0303908398501533,0.0299183162680345,0.0269370119337164,0.0227393010936381,0.0177846981763137,0.0140355551650981,0.0120105890540148,0.0118794137736686,0.0115481296466151,0.0109062635951054
108,"BDI","Burundi",0.0166284175561424,0.0151486991426577,0.0131566272925459,0.00817457184304882,0.000920264632271239,0.00375732206948509,0.0109879469472869,0.0190069626515414,0.0238066698094295,0.027836167247419,0.0316575831624157,0.0320197057059466,0.0322466902400877,0.0299311884525502,0.0263051091783677,0.0221467175145902,0.0188609295498852,0.0170726818086935,0.0165399237110126,0.0155462357099894,0.0141892384560192
132,"CPV","Cabo Verde",0.0351590944974483,0.0360627700237115,0.0358320464110429,0.0327525230449528,0.0245093126722582,0.0241428829193004,0.028223390993245,0.0318295485264668,0.0336784268741666,0.0293750833361401,0.025245090355535,0.0174772562968535,0.0158820304142824,0.0144532353869782,0.011297143364277,0.00843213881951543,0.00982010900749519,0.0114434806865147,0.0171088554133529,0.0173834920579261,0.016837202310886
116,"KHM","Cambodia",0.050956369641556,0.0456537162610902,0.0383627487639138,0.0407047143061703,0.0408620987549406,0.0184669551868732,0.00513422968097554,-0.0101363503700761,-0.0335810664930822,-0.0471294705063454,-0.00789778597236464,0.0105260557915727,0.0257176642942145,0.0515890172289994,0.0777618566950555,0.0837980784695835,0.0830596240317882,0.0749955805728322,0.0570708771092983,0.0298930326646114,0.0277355509527706
120,"CMR","Cameroon",0.0259851793929857,0.0261557348508272,0.0254649588837208,0.0273916635715081,0.0286831590562955,0.030118225498414,0.0305948572052512,0.023038651928609,0.00699784804289072,-0.00590356390693177,-0.0185347938970603,-0.0296166811345706,-0.0365953120854534,-0.0299840219873498,-0.0165362752498717,-0.00103309919028543,0.0169351062593999,0.0290365750882218,0.0297287334784602,0.0287282795665393,0.0282801399207318
124,"CAN","Canada",0.0128392716846761,0.0206496874380631,0.0194328839261642,0.012699649630314,0.00481093640912711,NA,NA,-0.0191087594018046,-0.029627988108231,-0.0389245897130406,-0.0526492096405101,-0.0507845802764712,-0.0510197091068657,-0.0584412133482747,-0.0655732522003367,-0.072435613166041,-0.0705699504387907,-0.0726526090083655,-0.0726430495382461,-0.068584406500709,-0.0763956573500326
136,"CYM","Cayman Islands",0.0384664570471462,0.0297899267561761,0.0218501093648613,0.00948531206359315,NA,0.000196167485019716,0.00151417606548132,0.00527988448002015,0.0279147736586893,0.0311835829613112,0.0413423938275468,0.0471000314421344,0.0319047319813166,0.0292636122699899,0.0278574923945407,0.0259528999762613,0.0163735142822876,0.007067684859561,0.00867038944932741,0.00738934077284314,0.00898533020886516
140,"CAF","Central African Republic",0.0217329227174525,0.0208396247425096,0.0183295902741436,0.0117635378317236,0.00189239127735163,0.0012266564642387,0.00485158583108736,0.00921612845446274,0.0109335509938462,0.0126844878936487,0.0150500902351467,0.0148149265641286,0.0149568966066709,0.0128923063605666,0.00971909080577826,0.00573366631578232,0.0029425850829059,0.00167436527947973,0.00174314575188439,0.00199694458142852,0.00239913641320233
