"code","iso","country","NDA.raw.1999","NDA.raw.2000","NDA.raw.2001","NDA.raw.2002","NDA.raw.2003","NDA.raw.2004","NDA.raw.2005","NDA.raw.2006","NDA.raw.2007","NDA.raw.2008","NDA.raw.2009","NDA.raw.2010","NDA.raw.2011","NDA.raw.2012","NDA.raw.2013","NDA.raw.2014","NDA.raw.2015","NDA.raw.2016","NDA.raw.2017","NDA.raw.2018","NDA.raw.2019"
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,0.0480581267464144,0.0550822322216393,0.0486495711689059,0.03054594130361,0.0192570308088531,0.0156578907580158,0.0287074655460646,0.0402992556845401,0.0497170280730841,0.0558353685847244,0.0495940370746,0.0538913998414472,0.0529278738704444,0.043783497747349,0.0306098576631484,0.00653765502313197,0.000217042542556944
72,"BWA","Botswana",0.0118966922617121,0.00862044598803413,0.0155228460273762,0.0198727009423829,-0.035939934564227,-0.100814207883534,-0.136818409995937,-0.111821885855879,-0.108016539158951,-0.0172100777251775,-0.0229478920399279,0.0384583349738745,0.124600624262729,0.153672465034561,0.0998909372347911,0.0248543559091507,-0.0471313801232612,-0.130057193603806,-0.176807093038269,-0.164185309448642,-0.290854926472219
76,"BRA","Brazil",0.013882337821892,0.0144056630122174,0.0171049222398767,0.0205919086342572,0.0248975801770386,0.0317401361943601,0.036169693917548,0.0333007686999562,0.0333626026277256,0.0300811199358335,0.0224101199962639,0.0209214167096217,0.0188724998871532,0.0166518425629625,0.0148718142386197,0.0170261346325025,0.0164265557975922,0.0142448396356178,0.0176570809881151,0.0152904841691575,0.0107189768562945
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",0.0277465083905393,0.0352658560222292,0.0425375824383001,0.0470335714823653,0.045596550690491,0.0427778671902808,0.0341955986707954,0.0304289764074237,0.0299257494832963,0.0273637042168051,0.0231945264130993,0.0212350763654061,0.0181726775809194,0.0162166374647283,0.0162697539721581,0.012957756755186,0.00352181847952737,0.0011156622581765,-0.000351467933462461,0.000989572385464932,-0.00145648763973371
100,"BGR","Bulgaria",-0.0205067280458691,-0.017422632585359,-0.0110249427137348,-0.00572540683781239,-0.00167967946611818,0.00468553477190459,0.00678767548841308,0.00233068619823817,0.00354680517394357,-0.000645302537092981,-0.0135138739792164,-0.0256397750235591,-0.013400090507156,-0.0154985519021204,-0.00393532066222793,0.00557550530034856,0.0120654476365978,0.00712556221182181,0.00723086156752006,0.00850007618257442,0.0176458258353054
854,"BFA","Burkina Faso",0.020057530255347,0.0219917360165773,0.0188696595620252,0.0182055050316943,0.027195923903655,0.0351392229193219,0.0428172200056776,0.0437415146936275,0.0446489742973339,0.0432255976749072,0.0396518777902679,0.0395161045112031,0.0296043933985881,0.0188233143703969,0.0187065051581006,0.0185527834593415,0.0195353085421175,0.0199404642076715,0.01949235046576,0.0186902318616193,0.018267040341805
108,"BDI","Burundi",-0.00109375075010115,-0.000416975820349791,0.00337490770558757,0.00666804351824335,0.008920383273467,0.00982172428674,0.0131105038047854,0.0167728227987607,0.020495020110644,0.0231290841795384,0.0241643086751688,0.0274003331091393,0.033402874666465,0.0337328364662173,0.0371140821376021,0.0377544226354749,0.0348465232390189,0.0353034994272539,0.0388174695921897,0.040738893874855,0.0360609648524839
132,"CPV","Cabo Verde",0.0250985054200434,0.0160137136857685,0.0122527606260456,0.0234494720759117,0.0328577997931989,0.0306954490418601,0.0452348226426931,0.0320063807751318,0.0243717767533527,0.0224249151967686,0.0246161761670929,0.0261099099615725,0.0111362116096105,-0.00299783013219183,-0.0207577951406955,-0.0349081063801859,-0.0412565909026674,-0.0402196591660686,-0.0485532615546159,-0.0486185802607751,-0.0353854520277527
116,"KHM","Cambodia",-9999,-9999,-9999,0.0106854682729474,0.00898885305029662,0.00550776539387487,0.00440467724315874,0.0119093174118885,0.0183168087251597,0.0207688513387032,0.0319326690004973,0.0344692810805649,0.0331589497366929,0.0290811609909769,0.024792096177833,0.0196182457189393,0.0143620283106101,0.010138617067958,0.0129729217959937,0.012377466850408,0.0132066771514632
