"code","iso","country","CHA.raw.1999","CHA.raw.2000","CHA.raw.2001","CHA.raw.2002","CHA.raw.2003","CHA.raw.2004","CHA.raw.2005","CHA.raw.2006","CHA.raw.2007","CHA.raw.2008","CHA.raw.2009","CHA.raw.2010","CHA.raw.2011","CHA.raw.2012","CHA.raw.2013","CHA.raw.2014","CHA.raw.2015","CHA.raw.2016","CHA.raw.2017","CHA.raw.2018","CHA.raw.2019"
834,"TZA","Tanzania",0.0218979596845963,0.0230464793141432,0.0238879944607062,0.0264864915177638,0.0309169690628741,0.0315325789002996,0.0364631792451728,0.0336282236175933,0.0289383990148386,0.0291521369964487,0.0293545174402121,0.0278213308307373,0.0260886532877462,0.0265106801386557,0.0305555733912959,0.032322753772438,0.0358880530364813,0.0338311097762491,0.0298872182131158,0.0263843533382746,0.0220177979786613
764,"THA","Thailand",0.00234466519246035,0.0004887665579969,0.00223523309117035,0.00389947361565435,0.0072876859782427,0.0108703698944697,0.0137961566040137,0.0157981718921396,0.0209925456098594,0.0228484265093476,0.0252769717858345,0.0282340464932265,0.0281381849981837,0.0259321328513211,0.0237013462309277,0.0178468747846059,0.00933282189198659,0.00144820092445896,-0.00610997666828789,-0.0162544721395746,-0.0214854602483514
626,"TLS","Timor-Leste",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.25850417185974,0.240650911013094,0.222237147523997,0.178455338812393,0.117193487348832,0.0662420558866272,0.0441879946463126,0.0204809825321193,0.017740685642186,0.0167126894501775,0.0284869558020935
768,"TGO","Togo",0.037278373032555,0.0446109771281071,0.0457434952463749,0.0456693011557445,0.0434265430552836,0.0374697724855131,0.0356436070838595,0.0295144181362827,0.024179904089479,0.0250942520687363,0.0258746138668997,0.0269050569732514,0.0274383228884607,0.0285351733943613,0.0303533155995968,0.0276777428758079,0.0342520296269697,0.0344320359230035,0.0307871785331477,0.0273665578695732,0.0254221608754768
776,"TON","Tonga",-0.00669939978316168,-0.00379687816957962,-0.00152043263672218,0.00208354044889858,0.00551613465807255,0.00829263759993237,0.00781497077974924,0.00696236045354048,0.00554458453449325,0.00374444705830146,0.0026410345589265,0.00261422887191665,0.00279035301414154,0.00329519273359113,0.00372628497537764,0.00424653041411438,0.00498010116125069,0.00516431859441568,0.00516570472461364,0.00498480559907555,0.00462226297706492
780,"TTO","Trinidad and Tobago",0.0407581872347056,0.0606849895988844,0.0767169629767066,0.0909709627446893,0.11003665073268,0.126752901760874,0.134112750837104,0.141304237044105,0.134311648364892,0.122326705084407,0.103792819278037,0.0881770202106062,0.0641745768131936,0.0392274809811615,0.0243307071577541,0.0111620894272866,-0.00345830593639258,-0.0186704364292932,-0.0187029534053822,-0.0185531021490544,-0.0108272020524273
788,"TUN","Tunisia",0.0268168069135177,0.0281367723895432,0.030871820382145,0.0322465521071711,0.0303084861521996,0.0261352682270439,0.0207775242992327,0.0196437003473,0.0176884409107978,0.0205518046850426,0.023819713440385,0.0244307797041425,0.0219610974875013,0.0176095513355767,0.0107361904212937,0.00284806040620222,-0.00648179080871259,-0.0171889412401593,-0.031205532858275,-0.0332681863148196,-0.0241108822537987
792,"TUR","Turkey",0.0352508338570197,0.045132435245038,0.0493389362707524,0.0452675078147706,0.0383074820517353,0.0229581731486428,0.00977146792969652,0.00485060294772066,0.00675773458649598,0.00831179194127607,0.0140760024801032,0.0261066634136806,0.0387843956423302,0.0465614313401443,0.053378268569821,0.0531932180376433,0.0498690710933032,0.0476986968921991,0.0448315290994252,0.0394691147660027,0.0313716943695166
795,"TKM","Turkmenistan",-0.00238237830349555,-0.00171628425046756,0.000121861963503278,0.0383966190136529,0.0923818806976029,0.11499899561764,0.127376612506515,0.136128914539687,0.101700119674963,0.0665652952824112,0.0246355206231721,0.00313953121288391,-0.00300397321023638,-0.00271926429699806,0.00734577087332244,0.0172384367349012,0.0268400586828768,0.0329131150643691,0.0380982663392513,0.047212883286996,0.0325025438075226
796,"TCA","Turks and Caicos Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
798,"TUV","Tuvalu",0.00979111130921773,0.00546831803574288,0.00631994779437406,0.00830209790666658,0.00842804032652178,0.00902210885633981,0.00925528647170126,0.00885023404496521,0.00902219904857948,0.00923977748631466,0.00969023137371439,0.00955415288328787,0.00936084151519956,0.00998863553739127,0.0102523343276868,0.010461065715704,0.0106998767655861,0.0105350985889341,0.0103642075165371,0.0104357303891984,0.0103995603394116
800,"UGA","Uganda",0.0246848736714982,0.0255945172806391,0.0261354674741749,0.0267925321181557,0.0290966968984681,0.03003520938063,0.0323825680430747,0.0302792250065071,0.0314156404774257,0.0433336001776843,0.0499356632804298,0.0552314293506948,0.0562636913134353,0.0560574695557909,0.0548479344245434,0.0501299124738637,0.0456394563625355,0.0361460032015082,0.0278345167504226,0.0287538570085242,0.0275583126832215
804,"UKR","Ukraine",0,-0.00669966857616513,-0.0157927908617778,-0.0263471234761266,-0.0353507137095855,-0.0412176877515575,-0.0351882687093934,-0.028784049589612,-0.0204260270981458,-0.0166728917959154,-0.0185910945468443,-0.0239390276188005,-0.0218429355671892,-0.0158851412677951,-0.00724463028266121,-0.00520875081998455,-0.0021209815292316,-0.00171516630499097,-0.00286098219057308,-0.00766273022868104,-0.00903130694531149
784,"ARE","United Arab Emirates",0.0278413787401781,0.0211465933171282,0.0153859713437858,0.00683832635767256,0.00771077439229595,0.00546374371384273,0.00850563098156365,0.0161334461237808,0.0207261668612897,0.0215038552746607,0.0190552928917027,0.0203753754115474,0.0241999663396251,0.0246441586724357,0.0268439022273828,0.0264493183419856,0.0295939984428755,0.0334989373449046,0.0339959068002804,0.033050808416841,0.0292052592874508
826,"GBR","United Kingdom",-0.0341779591646717,-0.0450078843668493,-0.051418335727498,-0.0594584671035658,-0.0691933728943711,-0.0848445996717854,-0.0939998459796998,-0.101672260192105,-0.106908032747868,-0.112373632776044,-0.114489096296403,-0.114787033419303,-0.112246764521571,-0.11054554945711,-0.104443246649387,-0.0947377323012404,-0.0816295122735986,-0.0709562700947207,-0.0557443833697244,-0.0380226813661728,-0.0217798206604532
